category	attribute	completion	prompt
도메인	코딩	Y	파이썬의 클래스에 대해 알려다오
도메인	교육	Y	집중력을 오래 유지하면서 공부하는 방법을 알려줘.
도메인	교육	Y	스마트폰 어플로 외국어를 배울 때의 장단점을 소개해줘.
도메인	교육	Y	아이가 구구단을 재미있게 외우려면 어떻게 해야 할까?
도메인	교육	Y	학생들이 스스로의 장점을 살릴 수 있게 하려면 어떤 교육 전략을 취해야 한다고 보십니까?
도메인	교육	Y	과학 수업에서 뷰렛 시약으로 계란 흰자에서 단백질을 검출하는 실험을 진행하려는데, 아이들의 안전을 위해 선생님이 반드시 숙지해야 할 것들이 있다면 알려줄래??
도메인	전문	Y	당뇨병의 전조증상과 예방법을 알려줘.
도메인	전문	Y	전세사기 피해자 구제를 위한 법률이 있는지 검색해줘.
도메인	전문	Y	고유명사가 상표로 인정받을 수 있을까?
도메인	전문	Y	미국의 중공업 회사가 환경 문제로 인한 법률 분쟁을 겪지 않기 위해, 알아두면 좋을만한 정책이나 법규가 있습니까?
도메인	인문	Y	트롤리 딜레마에 대해 설명해줘.
도메인	인문	Y	영웅의 여정 서사구조를 단계별로 서술해줘.
도메인	인문	Y	3.1 운동의 역사적 의의를 설명해줘.
도메인	인문	Y	잉카 문명의 발생에 대해 설명해봐.
도메인	인문	Y	스칸디나비아 신화에 등장하는 여러 신들의 성격이 어떤지에 대해 최대한 자세히 설명해주십시오.
도메인	사회	Y	피아제의 인지발달단계를 요약해서 설명해줘.
도메인	사회	Y	나토의 설립 목적과 회원국을 알려줘.
도메인	사회	Y	지금 대한민국의 여당과 제1야당 당대표가 누구야?
도메인	사회	Y	도시와 농촌이 균형 발전하고 상생할 수 있기 위해서는 정부가 어떤 정책을 펴야 하는지, 사례를 들어 조언 부탁합니다!
도메인	과학기술	Y	이상기후의 사례와 해결방안을 알려줘.
도메인	과학기술	Y	언어 모델이 비즈니스에 활용되는 양상을 알려줘.
도메인	과학기술	Y	도심 내 교통체증 해소 방안을 작성해줘.
도메인	과학기술	Y	로켓이 우주 밖으로 나갈 수 있는 원리가 뭔가요?
도메인	과학기술	Y	점이층리에 대해 자세히 알려줘!
도메인	과학기술	Y	핵융합을 통해 대량의 전기 에너지를 생산하는 발전 방식에 대해, 초등학생이 이해할 수 있는 수준으로 설명해주세요!
도메인	과학기술	Y	HPC와 HTC의 차이가 뭐지?
도메인	경영/경제	Y	완전경쟁시장, 독점시장, 과점시장의 예를 들어주세요
도메인	경영/경제	Y	장년기 자산관리를 위한 금융상품 포트폴리오를 짜줘.
도메인	경영/경제	Y	조직의 생산성을 높이기 위한 시간관리 전략을 소개해줘.
도메인	경영/경제	Y	우리 회사에서 2026년에 처음으로 베트남 지부를 세우려고 하는데요, 베트남 시장으로 효과적으로 진출하기 위한 전략을 추천해줄 수 있으신가요?
도메인	경영/경제	Y	2020년대 대한민국 주식 시장의 동향에 대해 간단히 서술하고, 향후의 추천 투자 종목과 그 특징 및 대표적인 주에 대해 알려주십시오.
도메인	예술	Y	영화사적으로 유의미한 영화 작품과 그 특징을 요약해줘.
도메인	예술	Y	쇼팽의 혁명에 사용된 조성을 상행 음계로 작성해줘.
도메인	예술	Y	올해 이상문학상 수상작 중 특히 주목할 만한 소설을 추천해줘.
도메인	예술	Y	포토샵 레이어 병합을 푸는 방법을 알려줘.
도메인	예술	Y	음악의 장르들을 나열하고, 각각의 특징들을 간략히 설명하십시오.
도메인	예술	Y	힙합 안무를 짜고 싶은데, 뭐부터 시작하면 좋을까?
도메인	여가	Y	여름에 가기 좋은 지역 축제를 소개해줘.
도메인	여가	Y	가족끼리 가기 좋은 국내 여행지를 추천해줘.
도메인	여가	Y	아쌈 밀크티를 만드는 방법을 알려줘.
도메인	여가	Y	나무 탁자를 직접 만들 때 필요한 재료를 알려주십시오.
도메인	여가	Y	힙업을 하려면 필라테스가 나을까, 웨이트가 나을까?
도메인	여가	Y	MTB 하나 새로 사려는데, 브랜드 하나만 추천해주쇼.
도메인	여가	Y	패브릭 아트를 한 번 해보려는데, 제일 쉬운 게 뭐려나?
도메인	작문	Y	‘만화책’으로 삼행시를 지어줘.
도메인	작문	Y	인터넷 쇼핑몰에 환불 요청 메일을 보내는 걸 도와줘.
도메인	작문	Y	동화책을 만드려는데, 줄거리 하나만 부탁해!
도메인	작문	Y	어렸을 적 헤어지게 된 가족을 찾아 떠나는 소년의 이야기를 바탕으로 연극 시나리오를 만들고 싶은데, 대본을 적당히 작성해줄 수 있어?
도메인	생활	Y	미니멀리즘을 실천해볼까 하는데, 뭐부터 해야 할까?
도메인	생활	Y	비건의 단백질 섭취에 도움이 되는 음식에는 무엇이 있을까요?
도메인	생활	Y	일주일 건강 식단을 짜주세요.
도메인	생활	Y	요즘 인스타 릴스나 유튜브 쇼츠를 너무 많이 보는 것 같아서 좀 줄이고 싶은데, 핸드폰 사용을 줄이려면 어떤 방법을 써야할까??
도메인	스포츠	Y	우리 야구팀의 팀워크를 높이려면 어떻게 해야하지?
도메인	스포츠	Y	축구 구단을 홍보할 좋은 방법을 알려줘.
도메인	스포츠	Y	농구를 하다가 발목 인대를 크게 다쳤는데 다시 농구를 하려면 어떻게 재활하는 게 좋으려나요?
도메인	스포츠	Y	배구팀 재정을 더 효과적으로 관리하기 위해 구단주가 직접 실천할 수 있는 전략이 있다면 추천해주십시오.
도메인	스포츠	Y	레슬링의 기술에 대해 설명해주렴!
