task,instruction,input,output,option
law_statute_content,,도로교통법 제12조 제5항 제3호,도로교통법 제12조 제5항 제3호의 내용은 다음과 같습니다: 「도로법」 제2조제2호에 따른 도로의 부속물 중 과속방지시설 및 차마의 미끄럼을 방지하기 위한 시설,
fin_definition,,수출보험,"해당 용어의 정의는 다음과 같습니다.: 상품수출 시 수출업자가 수입업자의 신용위험, 수입국의 정치상황 등으로 수출대금을 회수하지 못할 위험으로부터 수출업자를 보호하기 위한 보험이다. 수출보험의 운영을 위해 한국무역보험공사내에 정부 등으로부터 자금을 출연받아 수출보험기금을 설치하였다. 수출보험은 ① 수입국의 수입금지 또는 제한, ② 외국에서의 외환거래 제한 또는 금지, ③ 외국에서의 전쟁 또는 내란으로 인한 금융거래 불능, ④ 수입국의 전쟁 또는 내란으로 인한 수출 불가능, ⑤ 국외에서 발생한 사유로 인한 운송 불능 등으로 인해 수출업자가 피해를 입을 경우 이를 보상해 주기 위해 운영되는 금융제도이다.",
gen_assistant,당신은 사람들이 정보를 찾을 수 있도록 도와주는 AI 비서입니다.,"단순반복동작 작업으로 손, 손가락 또는 손목의 부적절한 작업방법과 자세 등으로 주로 손목 부위에 주로 발생하는 근골격계질환은?
A: 테니스엘보
B: 회전근개손상
C: 수근관증후군
D: 흉곽출구증후군",수근관증후군,
oig-smallchip2-rvsd,,왜 그 노래가 '푸른 도나우'라고 불리나요?,푸른 도나우는 아름다움으로 유명한 오스트리아의 강입니다. 오스트리아의 유명한 작곡가 요한 슈트라우스 2세가 작곡한 대중가요이기도 합니다. 이 노래는 종종 결혼식 및 기타 축하 행사에서 연주됩니다.,
gen_closedQA_generation_1,,"맥락: 오산학교(五山學校)는 1907년 12월 남강(南崗) 이승훈(李昇薰)이 민족운동의 인재와 국민교육의 사표(師表)를 양성할 목적으로 평안북도 정주에 세운 학교이다.[1], 질의: 오산학교는 언제 세워졌나요?",주어진 질문에 대한 답은 1907년 12월입니다.,
gen_closedQA_classification,,"문단: 카페 아메리카노 또는 단순히 아메리카노는 에스프레소를 뜨거운 물로 희석하여 마시는 커피 음료의 한 종류이다. 그 농도는 일반적인 드립 커피와 비슷하지만 풍미는 다르다. 아메리카노의 농도는 에스프레소의 '샷' 수와, 더해지는 물의 양에 따라 달라진다. / 질문: 카페 아메리카노는 드립커피와 풍미가 비슷하다.",입력하신 문단에 대한 질문의 답은 거짓입니다.,
gen_nli,,"문장1: 73조5000억원 규모로 마련된 금융시장 안정 프로그램에선 12조6000억원의 집행 실적을 기록했다., 문장2: 금융시장 안정 프로그램은 73조 5000억 원 규모로 마련됬다.",질문자님이 입력하신 첫 번째 문장이 참이라면 두 번째 문장도 참이 됩니다.,
gen_math,산술 연산,어떤 수를 6으로 나누어야 할 것을 잘못하여 곱하였더니 36이 되었습니다. 바르게 계산하면 얼마입니까?,해당 문제에 대한 정답은 1입니다.,
gen_sts_classification,,"난방비 비싼데 추워, 가스비 비싼데 감기 걸리겠어",두 문장은 같은 상황을 묘사하고 있습니다.,
gen_news_classification_option,이 무슨 카테고리에 속하는 지 알려주세요.,언론사들은 이 번 대통령의 방중에 대하여 국민들이 스스로 판단하고 결정할 권리를 방해 하였습니다. 법에 대하여 잘 알지 못하는 저로서는 국가의 도움을 받아 저의 권리를 찾고 싶습니다.,문화/예술/체육/언론,"선택지:
&&정치개혁&&문화/예술/체육/언론&&인권/성평등&&보건복지&&기타&&미래&&외교/통일/국방&&농산어촌&&교통/건축/국토&&행정&&육아/교육&&일자리&&경제민주화&&저출산/고령화대책&&성장동력&&안전/환경&&반려동물&&"
gen_news_classification,,LH 아파트 최근 3년간 공급 아파트에서 하자 2만4천여건,입력하신 기사의 주제는 사회입니다.,
gen_sentiment_classification,,개인적인 의견이지만 끝에 뭔가 큰 반전이 있을줄 알고 봐서 그런지 그냥 밍숭맹숭하네요...,이 텍스트의 감정지수는 부정적입니다.,
gen_polysemy_classification,,"단어: 성화, 문장1: 새살림을 차렸으니 집들이하라는 주변의 [성화]가 대단하다., 문장2: 김 노인은 땅을 팔라는 사람들의 [성화]에도 끝끝내 내버텼다.",해당 단어는 주어진 두 문장에서 같은 의미를 가지고 있습니다.,
